eventID,parentEventID,samplingProtocol,samplingEffort,decimalLatitude,decimalLongitude,eventDate,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,habitat,country,geodeticDatum,coordinateUncertaintyInMeters
DIGITAF_FLANDERS:SAMPLE:Bo:crop:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Bo,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.799289554817,4.81360686265912,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo:crop:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Bo,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.799289554817,4.81360686265912,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Bo,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.80072,4.812192,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Bo,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.80072,4.812192,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Bo,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.798534,4.814494,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Bo,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.798534,4.814494,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo1:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Bo1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.830734,4.813417,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo1:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Bo1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.830734,4.813417,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo1:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Bo1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.831448,4.813626,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Bo1:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Bo1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.831448,4.813626,2023-06-13,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
