eventID,type,language,license,rightsHolder,datasetID,datasetName,basisOfRecord,occurrenceID,organismQuantity,organismQuantityType,sex,lifeStage,occurrenceStatus,identifiedBy,identificationVerificationStatus,scientificName,kingdom,taxonRank
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:0ebc37bab1176f2d,1,individuals,male,adult,present,Marc Vankerckvoorde,verified by expert,Trechus quadristriatus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:ca79276a0c6ced2e,2,individuals,female,adult,present,Marc Vankerckvoorde,verified by expert,Bembidion tetracolum,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:834188b52de41f22,1,individuals,female,adult,present,Wouter Dekoninck,verified by expert,Lasius niger,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:5389259d0d526781,2,individuals,male,adult,present,Marc Vankerckvoorde,verified by expert,Bembidion lampros,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:7fc0000bc33e4c34,1,individuals,male,adult,present,Johan Van Keer,verified by expert,Drassyllus lutetianus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:961f699d755f7018,6,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Aleocharinae spec.,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:a02872a5ea5e75e2,1,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Tachinus rufipes,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:2d8731aaf90e5e1f,1,individuals,male,adult,present,Pallieter De Smedt,verified by expert,Polydesmus inconstans,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:172fdc2f564126dc,1,individuals,female,adult,present,Marc Vankerckvoorde,verified by expert,Gabrius spec.,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:e7939d2f24042fd6,1,individuals,male,adult,present,Johan Van Keer,verified by expert,Pachygnatha degeeri,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:d1b926cb433b6986,2,individuals,male,adult,present,Johan Van Keer,verified by expert,Tenuiphantes tenuis,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:3f8a9bc98a9498b2,1,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Aleochara bipustulata,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:6acd2667e41c87a4,3,individuals,female,adult,present,Wouter Dekoninck,verified by expert,Lasius fuliginosus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:fcb14438eb2dda51,1,individuals,female,adult,present,Pallieter De Smedt,verified by expert,Polydesmus coriaceus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:a45dce2e9f4aa6b5,1,individuals,male,adult,present,Marc Vankerckvoorde,verified by expert,Loricera pilicornis,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:8338977f85c52935,2,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Tachyporus hypnorum,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:954f97276403219c,1,individuals,female,adult,present,Johan Van Keer,verified by expert,Tenuiphantes tenuis,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:55104295cffc4b4d,1,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Philonthus splendens,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:e347efc4be87e399,1,individuals,male,adult,present,Johan Van Keer,verified by expert,Diplocephalus graecus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:f50ff651596f2ec2,1,individuals,male,adult,present,Marc Vankerckvoorde,verified by expert,Bembidion obtusum,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:adde3ee25f614074,1,individuals,female,adult,present,Marc Vankerckvoorde,verified by expert,Trechus quadristriatus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap1,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:5abf048b215f87b5,1,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Anotylus insecatus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:a55e93df2bba3254,3,individuals,female,adult,present,Marc Vankerckvoorde,verified by expert,Demetrias atricapillus,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:5ed876d2588e2aa2,2,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Xantholinus longiventris,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:d23b932bde36f9af,9,individuals,,adult,present,Marc Vankerckvoorde,verified by expert,Aleocharinae spec.,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:082b30a73926d5d3,2,individuals,female,adult,present,Johan Van Keer,verified by expert,Tenuiphantes tenuis,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:04b4434aa5287f4a,2,individuals,female,adult,present,Pallieter De Smedt,verified by expert,Polydesmus inconstans,Animalia,species
DIGITAF_FLANDERS:SAMPLE:Bo:crop:pitfall:trap2,Event,en,https://creativecommons.org/publicdomain/zero/1.0/,Ghent University,https://doi.org/10.15468/cm9c76,"DIGITAF - Agrobiodiversity occurrences in and around tree row bordered cereal fields in Flanders, Belgium",materialSample,DIGITAF_FLANDERS:a523f0887c3b5bd6,1,individuals,female,adult,present,Pallieter De Smedt,verified by expert,Brachyiulus pusillus,Animalia,species
