"","Loc","Type","Spec","Family","Order","lat","lng","date","Sampletime","Spec_group","Det","Stage","Sex","Method","occurrenceID"
"1","Bo","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.799289554817,4.81360686265912,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:cd196ed291ba97c9"
"2","Bo","crop","Nyctalus leisleri","Vespertilionidae","Chiroptera",50.799289554817,4.81360686265912,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:6417abfcc992993b"
"3","Bo","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.80072,4.812192,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:be240e8cf7cc6552"
"4","Bo","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:0e2743aa6afd6844"
"5","Bo","tree","Nyctalus leisleri","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:64bab5e0eaf298cf"
"6","Bo","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:37bbe79a22e2c85d"
"7","Bo1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.830734,4.813417,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:a5a12ca4cec6b83c"
"8","Bo1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.831448,4.813626,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:6268989eebbb5f35"
"9","Bo2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.804672,5.00229,2023-06-12,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:502c5ddfbd64985c"
"10","Ge1","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:3c66e126e3cb88c4"
"11","Ge1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:beb0af21479e25b1"
"12","Ge1","tree","Nyctalus noctula","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:35a8f169e024bc07"
"13","Ge1","tree","Cnephaeus serotinus","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:53c840b42c71611f"
"14","Ie","crop","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.898197,2.833149,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:871be65d69a940ca"
"15","Ie","crop","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.898197,2.833149,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:5580c4b56f6f8736"
"16","Ie","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.898197,2.833149,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:a4e1c9aa23abb347"
"17","Ie","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.897827,2.834499,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:571843ab7cb33b7d"
"18","Ie1","crtl","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.869884,2.80778,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:0c9ee18f21dd8f0a"
"19","Ie1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.868481,2.808143,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:3f88c211400a0cbd"
"20","Ie1","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.868481,2.808143,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:b1ee9e4b79f148ff"
"21","Ie2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.894154,2.837079,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:22fdd81bddfcecaf"
"22","Ie2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.892433,2.838647,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:48c09db2bd4620f2"
"23","Ie2","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.892433,2.838647,2023-05-27,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:66af767c5a7ebda9"
"24","L1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.818477,4.672386,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:c45ea067a826e2bd"
"25","L1","crtl","Nyctalus leisleri/Vespertilio murinus","Vespertilionidae","Chiroptera",50.818477,4.672386,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:04009bc24e281bf9"
"26","L1","tree","Nyctalus leisleri/Vespertilio murinus","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:ebda18c550a6dbc7"
"27","L1","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:0265e864b5978809"
"28","L1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:75782db3f060d061"
"29","L1","tree","Myotis spec.","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:456d13fcf5cd0952"
"30","L2","crtl","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.829258,4.671156,2023-06-10,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:8491d2070a6f3ad3"
