"","Loc","Type","Spec","Family","Order","Spec_group","lat","lng","date","Sampletime","Det","Stage","Sex","Method","occurrenceID"
"1","Bo","crop","Alauda arvensis","Alaudidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:1"
"2","Bo","crop","Columba palumbus","Columbidae","Columbiformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:2"
"3","Bo","crop","Corvus corone","Corvidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:3"
"4","Bo","crop","Emberiza citrinella","Emberizidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:4"
"5","Bo","crop","Fringilla coelebs","Fringillidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:5"
"6","Bo","crop","Passer domesticus","Passeridae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:6"
"7","Bo","crop","Pica pica","Corvidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:7"
"8","Bo","crop","Pyrrhula pyrrhula","Fringillidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:8"
"9","Bo","crop","Sturnus vulgaris","Sturnidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:9"
"10","Bo","crop","Turdus merula","Turdidae","Passeriformes","birds",50.799289554817,4.81360686265912,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crop:2023-06-12:10"
"11","Bo","crtl","Alauda arvensis","Alaudidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:11"
"12","Bo","crtl","Anthus pratensis","Motacillidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:12"
"13","Bo","crtl","Corvus corone","Corvidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:13"
"14","Bo","crtl","Emberiza citrinella","Emberizidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:14"
"15","Bo","crtl","Hirundo rustica","Hirundinidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:15"
"16","Bo","crtl","Perdix perdix","Phasianidae","Galliformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:16"
"17","Bo","crtl","Phasianus colchicus","Phasianidae","Galliformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:17"
"18","Bo","crtl","Turdus merula","Turdidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:crtl:2023-06-12:18"
"19","Bo","tree","Ardea cinerea","Ardeidae","Pelecaniformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:19"
"20","Bo","tree","Columba oenas","Columbidae","Columbiformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:20"
"21","Bo","tree","Columba palumbus","Columbidae","Columbiformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:21"
"22","Bo","tree","Corvus corone","Corvidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:22"
"23","Bo","tree","Fringilla coelebs","Fringillidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:23"
"24","Bo","tree","Sylvia atricapilla","Sylviidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:24"
"25","Bo","tree","Turdus merula","Turdidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo:tree:2023-06-12:25"
"26","Bo1","crtl","Actitis hypoleucos","Scolopacidae","Charadriiformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:26"
"27","Bo1","crtl","Alauda arvensis","Alaudidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:27"
"28","Bo1","crtl","Anas crecca","Anatidae","Anseriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:28"
"29","Bo1","crtl","Curruca communis","Sylviidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:29"
"30","Bo1","crtl","Cyanistes caeruleus","Paridae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:30"
"31","Bo1","crtl","Falco tinnunculus","Falconidae","Falconiformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:31"
"32","Bo1","crtl","Fringilla coelebs","Fringillidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:32"
"33","Bo1","crtl","Muscicapa striata","Muscicapidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:33"
"34","Bo1","crtl","Phasianus colchicus","Phasianidae","Galliformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:34"
"35","Bo1","crtl","Prunella modularis","Prunellidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:35"
"36","Bo1","crtl","Sylvia atricapilla","Sylviidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:36"
"37","Bo1","crtl","Turdus merula","Turdidae","Passeriformes","birds",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:crtl:2023-06-12:37"
"38","Bo1","tree","Columba palumbus","Columbidae","Columbiformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:38"
"39","Bo1","tree","Corvus corone","Corvidae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:39"
"40","Bo1","tree","Cyanistes caeruleus","Paridae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:40"
"41","Bo1","tree","Falco tinnunculus","Falconidae","Falconiformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:41"
"42","Bo1","tree","Fringilla coelebs","Fringillidae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:42"
"43","Bo1","tree","Parus major","Paridae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:43"
"44","Bo1","tree","Phasianus colchicus","Phasianidae","Galliformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:44"
"45","Bo1","tree","Phylloscopus collybita","Phylloscopidae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:45"
"46","Bo1","tree","Streptopelia decaocto","Columbidae","Columbiformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:46"
"47","Bo1","tree","Sylvia atricapilla","Sylviidae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:47"
"48","Bo1","tree","Turdus merula","Turdidae","Passeriformes","birds",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo1:tree:2023-06-12:48"
"49","Bo2","crtl","Alauda arvensis","Alaudidae","Passeriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:49"
"50","Bo2","crtl","Anas platyrhynchos","Anatidae","Anseriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:50"
"51","Bo2","crtl","Ardea cinerea","Ardeidae","Pelecaniformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:51"
"52","Bo2","crtl","Buteo buteo","Accipitridae","Accipitriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:52"
"53","Bo2","crtl","Chloris chloris","Fringillidae","Passeriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:53"
"54","Bo2","crtl","Columba palumbus","Columbidae","Columbiformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:54"
"55","Bo2","crtl","Corvus corone","Corvidae","Passeriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:55"
"56","Bo2","crtl","Corvus frugilegus","Corvidae","Passeriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:56"
"57","Bo2","crtl","Coloeus monedula","Corvidae","Passeriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:57"
"58","Bo2","crtl","Cyanistes caeruleus","Paridae","Passeriformes","birds",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:birds:AudioMoth recording:Bo2:crtl:2023-06-12:58"
