"Loc","Type","Spec","TAG","date","Family","Order","lat","lng","Spec_group","Stage","Sex","Det","Number","Method","occurrenceID"
"Bo","crop","Triticum aestivum","Bo_crop",2023-06-12,"Poaceae","Poales",50.799289554817,4.81360686265912,"plants","Ad","","Jari Vandendendriessche",95,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crop:2023-06-12:1"
"Bo","crtl","Anisantha sterilis","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:2"
"Bo","crtl","Arrhenatherum elatius","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",75,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:3"
"Bo","crtl","Cirsium arvense","Bo_crtl",2023-06-12,"Asteraceae","Asterales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:4"
"Bo","crtl","Convolvulus arvensis","Bo_crtl",2023-06-12,"Convolvulaceae","Solanales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:5"
"Bo","crtl","Dactylis glomerata","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:6"
"Bo","crtl","Equisetum arvense","Bo_crtl",2023-06-12,"Equisetaceae","Equisetales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:7"
"Bo","crtl","Galium aparine","Bo_crtl",2023-06-12,"Rubiaceae","Gentianales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:8"
"Bo","crtl","Lolium perenne","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:9"
"Bo","crtl","Rumex crispus","Bo_crtl",2023-06-12,"Polygonaceae","Caryophyllales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:10"
"Bo","crtl","Urtica dioica","Bo_crtl",2023-06-12,"Urticaceae","Rosales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat","DIGITAF_BIODIVERSITY_FLEMISH_TREEROWS:OCCURRENCE:plants:10m² quadrat:Bo:crtl:2023-06-12:11"
