"","Loc","Type","Sampletime","Spec","Flower","Det","Sex","Method","Stage","Number","Family","Order","lat","lng","date","Spec_group","occurrenceID"
"1","Bo","crop",1,"Calliphora spec.","","Jari Vandendriessche","","15' Transect","Ad",1,"Calliphoridae","Diptera",50.799289554817,4.81360686265912,2023-06-12,"flies","DIGITAF_FLANDERS:37035e72d98c6a98"
"2","Bo","crop",1,"Episyrphus balteatus","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.799289554817,4.81360686265912,2023-06-12,"syrphids","DIGITAF_FLANDERS:f6887d70b766aacc"
"3","Bo","crtl",1,"Oedemera nobilis","Chaerophyllum","Jari Vandendriessche","","15' Transect","Ad",3,"Oedemeridae","Coleoptera",50.80072,4.812192,2023-06-12,"beetles","DIGITAF_FLANDERS:11557623094b51a5"
"4","Bo","crtl",1,"Lasioglossum morio","Papaver","Jens D'Haeseleer","F","15' Transect","Ad",1,"Halictidae","Hymenoptera",50.80072,4.812192,2023-06-12,"bees","DIGITAF_FLANDERS:a82c2e318abacb51"
"5","Bo","crtl",2,"Apis mellifera","","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.80072,4.812192,2023-09-06,"bees","DIGITAF_FLANDERS:51b0dacec735a203"
"6","Bo","crtl",2,"Autographa gamma","","Jari Vandendriessche","","15' Transect","Ad",1,"Noctuidae","Lepidoptera",50.80072,4.812192,2023-09-06,"butterflies","DIGITAF_FLANDERS:ecca27159b69316d"
"7","Bo","crtl",2,"Vanessa atalanta","","Jari Vandendriessche","","15' Transect","Ad",2,"Nymphalidae","Lepidoptera",50.80072,4.812192,2023-09-06,"butterflies","DIGITAF_FLANDERS:68437eae8d974f43"
"8","Bo","crtl",2,"Notostira elongata","Urtica","Jari Vandendriessche","","15' Transect","Ad",2,"Miridae","Hemiptera",50.80072,4.812192,2023-09-06,"other","DIGITAF_FLANDERS:0912ba6d5e754d75"
"9","Bo","crtl",2,"Scathophaga stercoraria","Urtica","Jari Vandendriessche","","15' Transect","Ad",2,"Scathophagidae","Diptera",50.80072,4.812192,2023-09-06,"flies","DIGITAF_FLANDERS:5be3d16a96ae8068"
"10","Bo","crtl",2,"Voria ruralis","Urtica","Jari Vandendriessche","","15' Transect","Ad",1,"Tachinidae","Diptera",50.80072,4.812192,2023-09-06,"flies","DIGITAF_FLANDERS:e2fb2e874ecaf9e0"
"11","Bo","tree",1,"Apis mellifera","Rosa","Jari Vandendriessche","","15' Transect","Ad",2,"Apidae","Hymenoptera",50.798534,4.814494,2023-06-12,"bees","DIGITAF_FLANDERS:0f40479f25c354f6"
"12","Bo","tree",1,"Myathropa florea","Rosa","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.798534,4.814494,2023-06-12,"syrphids","DIGITAF_FLANDERS:17c5e323cae2b73c"
"13","Bo","tree",1,"Pachytodes cerambyciformis","Rosa","Jari Vandendriessche","","15' Transect","Ad",1,"Cerambycidae","Coleoptera",50.798534,4.814494,2023-06-12,"beetles","DIGITAF_FLANDERS:4879e441b3d972ba"
"14","Bo","tree",1,"Platycheirus scutatus","Chaerophyllum","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.798534,4.814494,2023-06-12,"syrphids","DIGITAF_FLANDERS:67968cb370410197"
"15","Bo","tree",1,"Syritta pipiens","Rubus","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.798534,4.814494,2023-06-12,"syrphids","DIGITAF_FLANDERS:527e9538a79ccbd9"
"16","Bo","tree",1,"Episyrphus balteatus","Chaerophyllum","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",50.798534,4.814494,2023-06-12,"syrphids","DIGITAF_FLANDERS:f5083e9ed8d17503"
"17","Bo","tree",1,"Hylaeus communis","Chaerophyllum","Jens D'Haeseleer","F","15' Transect","Ad",1,"Colletidae","Hymenoptera",50.798534,4.814494,2023-06-12,"bees","DIGITAF_FLANDERS:ab40df047eb2daee"
"18","Bo","tree",2,"Aglais io","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",50.798534,4.814494,2023-09-06,"butterflies","DIGITAF_FLANDERS:4375c88e36b6a9ca"
"19","Bo","tree",2,"Diplazon annulatus","Lamium","Augustijn De Ketelaere","F","15' Transect","Ad",1,"Ichneumonidae","Hymenoptera",50.798534,4.814494,2023-09-06,"wasps","DIGITAF_FLANDERS:4529eccb1134e3c4"
"20","Bo","tree",2,"Pararge aegeria","","Jari Vandendriessche","","15' Transect","Ad",4,"Nymphalidae","Lepidoptera",50.798534,4.814494,2023-09-06,"butterflies","DIGITAF_FLANDERS:5fbed921329335d8"
"21","Bo","tree",2,"Pieris napi","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.798534,4.814494,2023-09-06,"butterflies","DIGITAF_FLANDERS:5874adb714abb4bd"
"22","Bo","tree",2,"Vanessa atalanta","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",50.798534,4.814494,2023-09-06,"butterflies","DIGITAF_FLANDERS:8e64f4af2b178596"
"23","Bo","tree",2,"Vespa crabro","","Jari Vandendriessche","","15' Transect","Ad",2,"Vespidae","Hymenoptera",50.798534,4.814494,2023-09-06,"wasps","DIGITAF_FLANDERS:f2fc175a6de4945b"
"24","Bo1","crtl",1,"Larinus turbinatus","Cirsium","Jari Vandendriessche","","15' Transect","Ad",1,"Curculionidae","Coleoptera",50.830734,4.813417,2023-06-12,"beetles","DIGITAF_FLANDERS:875472380fa7c9ad"
"25","Bo1","crtl",1,"Eupeodes corollae","Matricaria","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.830734,4.813417,2023-06-12,"syrphids","DIGITAF_FLANDERS:f6220d52f57afb86"
"26","Bo1","crtl",1,"Halictus rubicundus","Cirsium","Jens D'Haeseleer","F","15' Transect","Ad",1,"Halictidae","Hymenoptera",50.830734,4.813417,2023-06-12,"bees","DIGITAF_FLANDERS:ee2888e38e67fdaf"
